instance_id,selection_stratum
instance_gravitational__teleport-b1bcd8b90c474a35bb11cc3ef4cc8941e1f8eab2-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,published_semantic_win
instance_future-architect__vuls-407407d306e9431d6aa0ab566baa6e44e5ba2904,published_semantic_win
instance_flipt-io__flipt-6fe76d024ee0c50ddb09c86f4ae0bd4c208fd65f,published_semantic_win
apache__rocketmq-7964,published_semantic_win
instance_qutebrowser__qutebrowser-36ade4bba504eb96f05d32ceab9972df7eb17bcc-v2ef375ac784985212b1805e1d0431dc8f1b3c171,published_semantic_win
instance_navidrome__navidrome-de90152a7173039677ac808f5bfb1e644d761336,published_semantic_win
instance_internetarchive__openlibrary-7edd1ef09d91fe0b435707633c5cc9af41dedddf-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,published_semantic_win
instance_flipt-io__flipt-d966559200183b713cdf3ea5007a7e0ba86a5afb,published_semantic_win
instance_flipt-io__flipt-72d06db14d58692bfb4d07b1aa745a37b35956f3,published_semantic_win
huggingface__transformers-27114,published_semantic_win
apache__rocketmq-4122,published_semantic_win
huggingface__transformers-24238,published_seed_boundary
huggingface__transformers-30556,published_seed_boundary
huggingface__transformers-3716,published_seed_boundary
huggingface__transformers-7075,published_seed_boundary
instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,published_seed_boundary
instance_flipt-io__flipt-0b119520afca1cf25c470ff4288c464d4510b944,published_seed_boundary
instance_flipt-io__flipt-b4bb5e13006a729bc0eed8fe6ea18cff54acdacb,published_seed_boundary
instance_future-architect__vuls-457a3a9627fb9a0800d0aecf1d4713fb634a9011,published_seed_boundary
instance_future-architect__vuls-8659668177f1feb65963db7a967347a79c5f9c40,published_seed_boundary
instance_navidrome__navidrome-3bc9e75b2843f91f6a1e9b604e321c2bd4fd442a,published_seed_boundary
trinodb__trino-3859,published_seed_boundary
huggingface__transformers-27717,published_seed_boundary
instance_flipt-io__flipt-e2bd19dafa7166c96b082fb2a59eb54b4be0d778,published_seed_boundary
instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,published_seed_boundary
instance_navidrome__navidrome-c90468b895f6171e33e937ff20dc915c995274f0,published_seed_boundary
instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,published_retrieval_shift_floor
instance_navidrome__navidrome-1e96b858a91c640fe64e84c5e5ad8cc0954ea38d,published_retrieval_shift_floor
instance_future-architect__vuls-17ae386d1e185ba742eea4668ca77642e22b54c4,published_retrieval_shift_floor
instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07,published_retrieval_shift_floor
